km,link,name,place,price,time,typ
11.03万公里,https://www.che168.com/dealer/470924/42262147.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,天语 SX4 2009款 两厢 1.6L 自动运动型,北京,2.60,2009年09月,自动 / 1.6L
11万公里,https://www.che168.com/dealer/427616/42407586.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,荣威550 2010款 550S 1.8L 自动启臻版,北京,2.50,2010年04月,自动 / 1.8L
12万公里,https://www.che168.com/dealer/399921/42123636.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=40&offertag=10&activitycartype=8,桑塔纳经典 1.8 世纪新秀,北京,2.50,2000年12月,手动 / 1.8L
10.6万公里,https://www.che168.com/dealer/198369/42477102.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,颐达 2006款 1.6JE AT,北京,2.38,2007年12月,自动 / 1.6L
7万公里,https://www.che168.com/dealer/285581/42408012.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,赛欧 2010款 三厢 1.4L AMT优逸版,北京,2.28,2012年08月,自动 / 1.4L
6.5万公里,https://www.che168.com/dealer/285581/42261036.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,比亚迪L3 2012款 1.5L 手动舒适型,北京,2.20,2013年01月,手动 / 1.5L
8万公里,https://www.che168.com/dealer/324303/42469176.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,朗动 2012款 1.6L 自动时尚型,北京,4.70,2013年09月,自动 / 1.6L
7万公里,https://www.che168.com/dealer/426845/42196340.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,世嘉 2013款 三厢 2.0L 自动品悦型,北京,4.68,2014年06月,自动 / 2L
11.15万公里,https://www.che168.com/dealer/462213/42358847.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,甲壳虫 2008款 2.0 AT 顶配版,北京,4.50,2008年03月,自动 / 2L
6万公里,https://www.che168.com/dealer/404552/42478414.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,smart fortwo 2012款 1.0 MHD 硬顶舒适版,北京,4.38,2012年07月,自动 / 1L
5万公里,https://www.che168.com/dealer/324303/42420100.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,日产ZN厢式车 2013款 2.4L两驱豪华型5座,北京,4.30,2015年04月,手动 / 2.4L
10.5万公里,https://www.che168.com/dealer/285581/42444397.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,酷搏 2011款 2.0 SXT舒适版,北京,4.25,2011年12月,自动 / 2L
1.3万公里,https://www.che168.com/dealer/405129/41567733.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=40&offertag=10&activitycartype=8,长安欧尚X70A 2018款 1.5L 手动标准型,北京,4.18,2018年08月,手动 / 1.5L
11.3万公里,https://www.che168.com/dealer/462711/42189764.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,smart fortwo 2009款 1.0 MHD 敞篷 style版,北京,4.18,2010年08月,自动 / 1L
4.04万公里,https://www.che168.com/dealer/462213/42465296.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,北汽新能源EU 2016款 EU260 乐途plus版,北京,4.10,2017年06月,自动 / 0L
8万公里,https://www.che168.com/dealer/324303/42469832.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,蒙迪欧-致胜 2010款 2.3L 自动,北京,4.00,2010年11月,自动 / 2.3L
,https://www.che168.com/dealer/333134/42342690.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,酷搏 2011款 2.0 SXT舒适版,,4.70,,
8.81万公里,https://www.che168.com/dealer/483945/42198776.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=40&offertag=10&activitycartype=8,花冠 2013款 1.6L 手动卓越版,北京,4.00,2015年03月,手动 / 1.6L
1.3万公里,https://www.che168.com/dealer/329436/42213745.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,华泰XEV260 2016款 精英型,北京,3.98,2016年07月,自动 / 0L
8万公里,https://www.che168.com/dealer/123555/41928123.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,晨风 2014款 领航版6.6KW,北京,3.98,2016年06月,自动 / 0L
10万公里,https://www.che168.com/dealer/123555/42110148.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,思域 2006款 1.8L 自动经典版,北京,3.68,2007年08月,自动 / 1.8L
10.4万公里,https://www.che168.com/dealer/470924/42416663.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,桑塔纳 2013款 1.6L 手动舒适版,北京,3.30,2014年05月,手动 / 1.6L
14.1万公里,https://www.che168.com/dealer/470924/42405815.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,途安 2008款 2.0L 智雅版自动5座,北京,3.30,2010年02月,自动 / 2L
1.3万公里,https://www.che168.com/dealer/285581/42221198.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,开瑞K50 2019款 1.5L 手动标准型,北京,3.23,2019年12月,手动 / 1.5L
11.73万公里,https://www.che168.com/dealer/470924/42348334.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,宝来 2011款 1.6L 自动舒适型,北京,3.00,2010年07月,自动 / 1.6L
9.48万公里,https://www.che168.com/dealer/285581/42433786.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,雨燕 2013款 1.3L 手动超值版,北京,2.98,2014年01月,手动 / 1.3L
5.9万公里,https://www.che168.com/dealer/115290/42337781.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,科鲁兹 2011款 1.6L SE AT,北京,1.98,2010年03月,自动 / 1.6L
13万公里,https://www.che168.com/dealer/427616/42093399.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,荣威550 2008款 550D 1.8T 自动品臻版,北京,1.97,2009年04月,自动 / 1.8L
4.01万公里,https://www.che168.com/dealer/462213/42442080.html?pvareaid=100519&userpid=110000&usercid=110100&offertype=0&offertag=0&activitycartype=0,奇瑞E3 2013款 1.5L 手动智尚型,北京,1.80,2014年04月,手动 / 1.5L
