王菲,阿菲正传
周杰伦,跨时代
孙燕姿,Leave
李志,被禁忌的游戏
陈奕迅,What&#39;s Going On....?
五月天,第二人生 末日版
陶喆,樂之路
Maroon 5,It Won&#39;t Be Soon Before Long
张悬,如果你冷
蔡健雅 Tanya Chua,陌生人
王菲,浮躁
自然卷,C&#39;est La Vie
刘若英,在一起
Rosie Thomas,These Friends Of Mine
苏打绿,陪我歌唱
Lily Allen,"It&#39;s Not Me, It&#39;s You"
手嶌葵,The Rose~I Love Cinemas~
李志,我爱南京
大乔小乔,消失的光年
范晓萱,还有别的办法吗
卡奇社,日光倾城
冯曦妤,A Little Love
Coldplay,Yellow
Keane,Hopes And Fears
陈奕迅,U87
Maximilian Hecker,Lady Sleep
久石譲(Joe Hisaishi)...,天空の城ラピュタ サウンドトラック 飛行石の謎
崔健,新长征路上的摇滚
棉花糖...,小飞行
好妹妹乐队,春生
陈绮贞,讓我想一想
方大同,未来
方大同,爱爱爱
逃跑计划,世界
盧廣仲...,七天
Nirvana,Nirvana
Coldplay,A Rush of  Blood to the Head
The Velvet Underground...,The Velvet Underground &amp; Nico
Eminem...,Love The Way You Lie
王菲,天空
Original Soundtrack,The Boat That Rocked
Oasis,(What&#39;s The Story) Morning Glory?
陈绮贞,PUSSY
Salyu,呼吸
Evanescence,Fallen
黑豹,黑豹
苏打绿,十年一刻
梁静茹,恋爱的力量
Suede,Suede
Radiohead,The Bends
林海,琵琶相
陈奕迅,？
彭坦,少年故事
雷光夏,黑暗之光
范晓萱,我要我们在一起
五月天,人生海海
Owl City,Maybe I&#39;m Dreaming
李志,工体东路没有人
The Beatles,Let It Be
Lily Allen,"Alright,Still"
林宥嘉,大小說家
牛奶@咖啡,越长大越孤单
梁静茹,燕尾蝶
戴佩妮,原谅我就是这样的女生
王菲,传奇
Daniel Powter,Under the Radar
五月天,知足 MV / Karaoke DVD
曲婉婷,我的歌声里
王菲,王菲
汪峰,信仰在空中飘扬
莫文蔚,[i]
Maroon 5,Songs About Jane
Amy Winehouse,Back To Black
陈绮贞,Demo 3
孙燕姿,克卜勒
Mariah Carey,E=MC²
Damien Rice,9 Crimes
陈珊妮,如果有一件事是重要的
郑钧,赤裸裸
张震岳,阿岳正传
朱玫玲...,3颗猫饼干
Green Day,21 Guns
蔡依林 Jolin Tsai,看我72变
五月天,第二人生 明日版
Oasis,Definitely Maybe
宇多田ヒカル,First Love
张惠妹,阿密特
王力宏 Leehom Wang,心·跳
The xx,xx
莫文蔚,回蔚
Tizzy Bac,如果看見地獄，我就不怕魔鬼
五月天,我们是五月天
萧敬腾,王妃
Lady Gaga,Poker Face
唐朝,唐朝
周杰伦,寻找周杰伦
林俊杰,她说
